Province,Gender,Age,Income,Value
New Brunswick,Males,25 to 34 years (4),"Persons with income of $50,000 and over (5)",11890
New Brunswick,Males,25 to 34 years (4),"Persons with income of $75,000 and over (5)",3950
New Brunswick,Males,25 to 34 years (4),"Persons with income of $100,000 and over (5)",1460
New Brunswick,Males,25 to 34 years (4),"Persons with income of $150,000 and over (5)",240
New Brunswick,Males,25 to 34 years (4),"Persons with income of $200,000 and over (5)",70
New Brunswick,Males,25 to 34 years (4),"Persons with income of $250,000 and over (5)",30
New Brunswick,Males,35 to 44 years (4),Total persons with income (5),45390
New Brunswick,Males,35 to 44 years (4),"Persons with income under $5,000 (5)",1500
New Brunswick,Males,35 to 44 years (4),"Persons with income of $5,000 and over (5)",43900
New Brunswick,Males,35 to 44 years (4),"Persons with income of $10,000 and over (5)",41540
New Brunswick,Males,35 to 44 years (4),"Persons with income of $15,000 and over (5)",40060
New Brunswick,Males,35 to 44 years (4),"Persons with income of $20,000 and over (5)",38290
New Brunswick,Males,35 to 44 years (4),"Persons with income of $25,000 and over (5)",35910
New Brunswick,Males,35 to 44 years (4),"Persons with income of $35,000 and over (5)",29330
New Brunswick,Males,35 to 44 years (4),"Persons with income of $50,000 and over (5)",19520
New Brunswick,Males,35 to 44 years (4),"Persons with income of $75,000 and over (5)",9200
New Brunswick,Males,35 to 44 years (4),"Persons with income of $100,000 and over (5)",4030
New Brunswick,Males,35 to 44 years (4),"Persons with income of $150,000 and over (5)",1080
New Brunswick,Males,35 to 44 years (4),"Persons with income of $200,000 and over (5)",450
New Brunswick,Males,35 to 44 years (4),"Persons with income of $250,000 and over (5)",240
New Brunswick,Males,45 to 54 years (4),Total persons with income (5),55270
New Brunswick,Males,45 to 54 years (4),"Persons with income under $5,000 (5)",1630
New Brunswick,Males,45 to 54 years (4),"Persons with income of $5,000 and over (5)",53640
New Brunswick,Males,45 to 54 years (4),"Persons with income of $10,000 and over (5)",49930
New Brunswick,Males,45 to 54 years (4),"Persons with income of $15,000 and over (5)",47720
New Brunswick,Males,45 to 54 years (4),"Persons with income of $20,000 and over (5)",45700
New Brunswick,Males,45 to 54 years (4),"Persons with income of $25,000 and over (5)",42970
New Brunswick,Males,45 to 54 years (4),"Persons with income of $35,000 and over (5)",34880
New Brunswick,Males,45 to 54 years (4),"Persons with income of $50,000 and over (5)",23240
New Brunswick,Males,45 to 54 years (4),"Persons with income of $75,000 and over (5)",12130
New Brunswick,Males,45 to 54 years (4),"Persons with income of $100,000 and over (5)",5970
New Brunswick,Males,45 to 54 years (4),"Persons with income of $150,000 and over (5)",1770
New Brunswick,Males,45 to 54 years (4),"Persons with income of $200,000 and over (5)",740
New Brunswick,Males,45 to 54 years (4),"Persons with income of $250,000 and over (5)",430
New Brunswick,Males,55 to 64 years (4),Total persons with income (5),53510
New Brunswick,Males,55 to 64 years (4),"Persons with income under $5,000 (5)",1720
New Brunswick,Males,55 to 64 years (4),"Persons with income of $5,000 and over (5)",51790
New Brunswick,Males,55 to 64 years (4),"Persons with income of $10,000 and over (5)",47340
New Brunswick,Males,55 to 64 years (4),"Persons with income of $15,000 and over (5)",44100
New Brunswick,Males,55 to 64 years (4),"Persons with income of $20,000 and over (5)",41790
New Brunswick,Males,55 to 64 years (4),"Persons with income of $25,000 and over (5)",38860
New Brunswick,Males,55 to 64 years (4),"Persons with income of $35,000 and over (5)",31060
New Brunswick,Males,55 to 64 years (4),"Persons with income of $50,000 and over (5)",19680
New Brunswick,Males,55 to 64 years (4),"Persons with income of $75,000 and over (5)",9480
New Brunswick,Males,55 to 64 years (4),"Persons with income of $100,000 and over (5)",4920
New Brunswick,Males,55 to 64 years (4),"Persons with income of $150,000 and over (5)",1560
New Brunswick,Males,55 to 64 years (4),"Persons with income of $200,000 and over (5)",700
New Brunswick,Males,55 to 64 years (4),"Persons with income of $250,000 and over (5)",380
New Brunswick,Males,65 years and over,Total persons with income (5),57730
New Brunswick,Males,65 years and over,"Persons with income under $5,000 (5)",280
New Brunswick,Males,65 years and over,"Persons with income of $5,000 and over (5)",57450
New Brunswick,Males,65 years and over,"Persons with income of $10,000 and over (5)",56880
New Brunswick,Males,65 years and over,"Persons with income of $15,000 and over (5)",53220
New Brunswick,Males,65 years and over,"Persons with income of $20,000 and over (5)",39460
New Brunswick,Males,65 years and over,"Persons with income of $25,000 and over (5)",31330
New Brunswick,Males,65 years and over,"Persons with income of $35,000 and over (5)",21520
New Brunswick,Males,65 years and over,"Persons with income of $50,000 and over (5)",10690
New Brunswick,Males,65 years and over,"Persons with income of $75,000 and over (5)",3600
New Brunswick,Males,65 years and over,"Persons with income of $100,000 and over (5)",1730
New Brunswick,Males,65 years and over,"Persons with income of $150,000 and over (5)",670
New Brunswick,Males,65 years and over,"Persons with income of $200,000 and over (5)",350
New Brunswick,Males,65 years and over,"Persons with income of $250,000 and over (5)",210
New Brunswick,Females,"All age groups (4,10)",Total persons with income (5),302840
New Brunswick,Females,"All age groups (4,10)","Persons with income under $5,000 (5)",22340
New Brunswick,Females,"All age groups (4,10)","Persons with income of $5,000 and over (5)",280500
New Brunswick,Females,"All age groups (4,10)","Persons with income of $10,000 and over (5)",249860
New Brunswick,Females,"All age groups (4,10)","Persons with income of $15,000 and over (5)",216820
New Brunswick,Females,"All age groups (4,10)","Persons with income of $20,000 and over (5)",173770
New Brunswick,Females,"All age groups (4,10)","Persons with income of $25,000 and over (5)",140520
New Brunswick,Females,"All age groups (4,10)","Persons with income of $35,000 and over (5)",92100
New Brunswick,Females,"All age groups (4,10)","Persons with income of $50,000 and over (5)",46830
New Brunswick,Females,"All age groups (4,10)","Persons with income of $75,000 and over (5)",16080
New Brunswick,Females,"All age groups (4,10)","Persons with income of $100,000 and over (5)",4910
New Brunswick,Females,"All age groups (4,10)","Persons with income of $150,000 and over (5)",1290
New Brunswick,Females,"All age groups (4,10)","Persons with income of $200,000 and over (5)",600
New Brunswick,Females,"All age groups (4,10)","Persons with income of $250,000 and over (5)",340
New Brunswick,Females,"0 to 24 years (4,10)",Total persons with income (5),32540
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",7170
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",25360
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",17150
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",11630
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",7230
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",4410
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",1620
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",460
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",30
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",20
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
New Brunswick,Females,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
New Brunswick,Females,25 to 34 years (4),Total persons with income (5),42590
New Brunswick,Females,25 to 34 years (4),"Persons with income under $5,000 (5)",2460
New Brunswick,Females,25 to 34 years (4),"Persons with income of $5,000 and over (5)",40130
New Brunswick,Females,25 to 34 years (4),"Persons with income of $10,000 and over (5)",36900
New Brunswick,Females,25 to 34 years (4),"Persons with income of $15,000 and over (5)",33730
New Brunswick,Females,25 to 34 years (4),"Persons with income of $20,000 and over (5)",29420
New Brunswick,Females,25 to 34 years (4),"Persons with income of $25,000 and over (5)",24610
New Brunswick,Females,25 to 34 years (4),"Persons with income of $35,000 and over (5)",15730
New Brunswick,Females,25 to 34 years (4),"Persons with income of $50,000 and over (5)",7400
New Brunswick,Females,25 to 34 years (4),"Persons with income of $75,000 and over (5)",1550
New Brunswick,Females,25 to 34 years (4),"Persons with income of $100,000 and over (5)",360
New Brunswick,Females,25 to 34 years (4),"Persons with income of $150,000 and over (5)",90
New Brunswick,Females,25 to 34 years (4),"Persons with income of $200,000 and over (5)",40
New Brunswick,Females,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
New Brunswick,Females,35 to 44 years (4),Total persons with income (5),48560
New Brunswick,Females,35 to 44 years (4),"Persons with income under $5,000 (5)",2990
New Brunswick,Females,35 to 44 years (4),"Persons with income of $5,000 and over (5)",45570
New Brunswick,Females,35 to 44 years (4),"Persons with income of $10,000 and over (5)",42380
New Brunswick,Females,35 to 44 years (4),"Persons with income of $15,000 and over (5)",39460
New Brunswick,Females,35 to 44 years (4),"Persons with income of $20,000 and over (5)",35660
New Brunswick,Females,35 to 44 years (4),"Persons with income of $25,000 and over (5)",31400
New Brunswick,Females,35 to 44 years (4),"Persons with income of $35,000 and over (5)",22280
New Brunswick,Females,35 to 44 years (4),"Persons with income of $50,000 and over (5)",12390
New Brunswick,Females,35 to 44 years (4),"Persons with income of $75,000 and over (5)",4600
New Brunswick,Females,35 to 44 years (4),"Persons with income of $100,000 and over (5)",1170
New Brunswick,Females,35 to 44 years (4),"Persons with income of $150,000 and over (5)",300
New Brunswick,Females,35 to 44 years (4),"Persons with income of $200,000 and over (5)",140
New Brunswick,Females,35 to 44 years (4),"Persons with income of $250,000 and over (5)",80
New Brunswick,Females,45 to 54 years (4),Total persons with income (5),56270
New Brunswick,Females,45 to 54 years (4),"Persons with income under $5,000 (5)",3630
New Brunswick,Females,45 to 54 years (4),"Persons with income of $5,000 and over (5)",52640
New Brunswick,Females,45 to 54 years (4),"Persons with income of $10,000 and over (5)",48040
New Brunswick,Females,45 to 54 years (4),"Persons with income of $15,000 and over (5)",44230
New Brunswick,Females,45 to 54 years (4),"Persons with income of $20,000 and over (5)",39430
New Brunswick,Females,45 to 54 years (4),"Persons with income of $25,000 and over (5)",33860
New Brunswick,Females,45 to 54 years (4),"Persons with income of $35,000 and over (5)",23560
New Brunswick,Females,45 to 54 years (4),"Persons with income of $50,000 and over (5)",13080
New Brunswick,Females,45 to 54 years (4),"Persons with income of $75,000 and over (5)",5270
New Brunswick,Females,45 to 54 years (4),"Persons with income of $100,000 and over (5)",1570
New Brunswick,Females,45 to 54 years (4),"Persons with income of $150,000 and over (5)",400
New Brunswick,Females,45 to 54 years (4),"Persons with income of $200,000 and over (5)",190
New Brunswick,Females,45 to 54 years (4),"Persons with income of $250,000 and over (5)",100
New Brunswick,Females,55 to 64 years (4),Total persons with income (5),53300
New Brunswick,Females,55 to 64 years (4),"Persons with income under $5,000 (5)",5670
New Brunswick,Females,55 to 64 years (4),"Persons with income of $5,000 and over (5)",47620
New Brunswick,Females,55 to 64 years (4),"Persons with income of $10,000 and over (5)",40810
New Brunswick,Females,55 to 64 years (4),"Persons with income of $15,000 and over (5)",35960
New Brunswick,Females,55 to 64 years (4),"Persons with income of $20,000 and over (5)",30970
New Brunswick,Females,55 to 64 years (4),"Persons with income of $25,000 and over (5)",25920
New Brunswick,Females,55 to 64 years (4),"Persons with income of $35,000 and over (5)",17520
New Brunswick,Females,55 to 64 years (4),"Persons with income of $50,000 and over (5)",8780
New Brunswick,Females,55 to 64 years (4),"Persons with income of $75,000 and over (5)",3260
New Brunswick,Females,55 to 64 years (4),"Persons with income of $100,000 and over (5)",1210
New Brunswick,Females,55 to 64 years (4),"Persons with income of $150,000 and over (5)",290
New Brunswick,Females,55 to 64 years (4),"Persons with income of $200,000 and over (5)",140
New Brunswick,Females,55 to 64 years (4),"Persons with income of $250,000 and over (5)",90
New Brunswick,Females,65 years and over,Total persons with income (5),69580
New Brunswick,Females,65 years and over,"Persons with income under $5,000 (5)",420
New Brunswick,Females,65 years and over,"Persons with income of $5,000 and over (5)",69160
New Brunswick,Females,65 years and over,"Persons with income of $10,000 and over (5)",64570
New Brunswick,Females,65 years and over,"Persons with income of $15,000 and over (5)",51810
New Brunswick,Females,65 years and over,"Persons with income of $20,000 and over (5)",31060
New Brunswick,Females,65 years and over,"Persons with income of $25,000 and over (5)",20320
New Brunswick,Females,65 years and over,"Persons with income of $35,000 and over (5)",11390
New Brunswick,Females,65 years and over,"Persons with income of $50,000 and over (5)",4730
New Brunswick,Females,65 years and over,"Persons with income of $75,000 and over (5)",1360
New Brunswick,Females,65 years and over,"Persons with income of $100,000 and over (5)",590
New Brunswick,Females,65 years and over,"Persons with income of $150,000 and over (5)",200
New Brunswick,Females,65 years and over,"Persons with income of $200,000 and over (5)",100
New Brunswick,Females,65 years and over,"Persons with income of $250,000 and over (5)",60
Quebec,Both sexes,"All age groups (4,10)",Total persons with income (5),6250840
Quebec,Both sexes,"All age groups (4,10)","Persons with income under $5,000 (5)",386560
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $5,000 and over (5)",5864290
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $10,000 and over (5)",5417230
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $15,000 and over (5)",4806140
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $20,000 and over (5)",4107750
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $25,000 and over (5)",3561450
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $35,000 and over (5)",2675970
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $50,000 and over (5)",1568050
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $75,000 and over (5)",638590
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $100,000 and over (5)",291120
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $150,000 and over (5)",99060
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $200,000 and over (5)",51980
Quebec,Both sexes,"All age groups (4,10)","Persons with income of $250,000 and over (5)",32430
Quebec,Both sexes,"0 to 24 years (4,10)",Total persons with income (5),734320
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",150080
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",584240
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",434340
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",294810
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",196800
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",135000
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",62170
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",19030
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",3190
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",930
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",110
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",30
Quebec,Both sexes,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Quebec,Both sexes,25 to 34 years (4),Total persons with income (5),984250
Quebec,Both sexes,25 to 34 years (4),"Persons with income under $5,000 (5)",49990
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $5,000 and over (5)",934250
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $10,000 and over (5)",877780
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $15,000 and over (5)",804600
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $20,000 and over (5)",730280
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $25,000 and over (5)",650870
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $35,000 and over (5)",478220
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $50,000 and over (5)",245430
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $75,000 and over (5)",66110
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $100,000 and over (5)",20660
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $150,000 and over (5)",4540
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $200,000 and over (5)",2120
Quebec,Both sexes,25 to 34 years (4),"Persons with income of $250,000 and over (5)",1220
Quebec,Both sexes,35 to 44 years (4),Total persons with income (5),1000910
Quebec,Both sexes,35 to 44 years (4),"Persons with income under $5,000 (5)",43110
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $5,000 and over (5)",957810
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $10,000 and over (5)",908690
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $15,000 and over (5)",846290
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $20,000 and over (5)",788910
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $25,000 and over (5)",726750
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $35,000 and over (5)",590830
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $50,000 and over (5)",380670
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $75,000 and over (5)",160400
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $100,000 and over (5)",66900
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $150,000 and over (5)",19530
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $200,000 and over (5)",9650
Quebec,Both sexes,35 to 44 years (4),"Persons with income of $250,000 and over (5)",5820
Quebec,Both sexes,45 to 54 years (4),Total persons with income (5),1175350
Quebec,Both sexes,45 to 54 years (4),"Persons with income under $5,000 (5)",57710
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $5,000 and over (5)",1117650
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $10,000 and over (5)",1055060
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $15,000 and over (5)",970830
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $20,000 and over (5)",905230
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $25,000 and over (5)",833550
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $35,000 and over (5)",677960
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $50,000 and over (5)",445370
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $75,000 and over (5)",213160
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $100,000 and over (5)",102180
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $150,000 and over (5)",34500
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $200,000 and over (5)",17740
Quebec,Both sexes,45 to 54 years (4),"Persons with income of $250,000 and over (5)",10950
Quebec,Both sexes,55 to 64 years (4),Total persons with income (5),1063170
Quebec,Both sexes,55 to 64 years (4),"Persons with income under $5,000 (5)",76910
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $5,000 and over (5)",986260
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $10,000 and over (5)",905870
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $15,000 and over (5)",801720
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $20,000 and over (5)",733790
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $25,000 and over (5)",665060
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $35,000 and over (5)",514720
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $50,000 and over (5)",307530
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $75,000 and over (5)",135480
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $100,000 and over (5)",68830
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $150,000 and over (5)",25700
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $200,000 and over (5)",13740
Quebec,Both sexes,55 to 64 years (4),"Persons with income of $250,000 and over (5)",8600
Quebec,Both sexes,65 years and over,Total persons with income (5),1292840
Quebec,Both sexes,65 years and over,"Persons with income under $5,000 (5)",8770
Quebec,Both sexes,65 years and over,"Persons with income of $5,000 and over (5)",1284080
Quebec,Both sexes,65 years and over,"Persons with income of $10,000 and over (5)",1235490
Quebec,Both sexes,65 years and over,"Persons with income of $15,000 and over (5)",1087890
Quebec,Both sexes,65 years and over,"Persons with income of $20,000 and over (5)",752740
Quebec,Both sexes,65 years and over,"Persons with income of $25,000 and over (5)",550230
Quebec,Both sexes,65 years and over,"Persons with income of $35,000 and over (5)",352070
Quebec,Both sexes,65 years and over,"Persons with income of $50,000 and over (5)",170030
Quebec,Both sexes,65 years and over,"Persons with income of $75,000 and over (5)",60260
Quebec,Both sexes,65 years and over,"Persons with income of $100,000 and over (5)",31630
Quebec,Both sexes,65 years and over,"Persons with income of $150,000 and over (5)",14670
Quebec,Both sexes,65 years and over,"Persons with income of $200,000 and over (5)",8690
Quebec,Both sexes,65 years and over,"Persons with income of $250,000 and over (5)",5810
Quebec,Males,"All age groups (4,10)",Total persons with income (5),3031920
Quebec,Males,"All age groups (4,10)","Persons with income under $5,000 (5)",162140
Quebec,Males,"All age groups (4,10)","Persons with income of $5,000 and over (5)",2869780
Quebec,Males,"All age groups (4,10)","Persons with income of $10,000 and over (5)",2688770
Quebec,Males,"All age groups (4,10)","Persons with income of $15,000 and over (5)",2451970
Quebec,Males,"All age groups (4,10)","Persons with income of $20,000 and over (5)",2179010
Quebec,Males,"All age groups (4,10)","Persons with income of $25,000 and over (5)",1951900
Quebec,Males,"All age groups (4,10)","Persons with income of $35,000 and over (5)",1540210
Quebec,Males,"All age groups (4,10)","Persons with income of $50,000 and over (5)",976190
Quebec,Males,"All age groups (4,10)","Persons with income of $75,000 and over (5)",441250
Quebec,Males,"All age groups (4,10)","Persons with income of $100,000 and over (5)",213590
Quebec,Males,"All age groups (4,10)","Persons with income of $150,000 and over (5)",74320
Quebec,Males,"All age groups (4,10)","Persons with income of $200,000 and over (5)",39680
Quebec,Males,"All age groups (4,10)","Persons with income of $250,000 and over (5)",25210
Quebec,Males,"0 to 24 years (4,10)",Total persons with income (5),366500
Quebec,Males,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",76170
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",290330
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",221640
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",157890
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",112770
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",82460
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",42050
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",14610
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",2620
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",740
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",80
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Quebec,Males,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Quebec,Males,25 to 34 years (4),Total persons with income (5),484750
Quebec,Males,25 to 34 years (4),"Persons with income under $5,000 (5)",25050
Quebec,Males,25 to 34 years (4),"Persons with income of $5,000 and over (5)",459690
Quebec,Males,25 to 34 years (4),"Persons with income of $10,000 and over (5)",433580
Quebec,Males,25 to 34 years (4),"Persons with income of $15,000 and over (5)",399780
Quebec,Males,25 to 34 years (4),"Persons with income of $20,000 and over (5)",368520
Quebec,Males,25 to 34 years (4),"Persons with income of $25,000 and over (5)",336070
Quebec,Males,25 to 34 years (4),"Persons with income of $35,000 and over (5)",260750
Quebec,Males,25 to 34 years (4),"Persons with income of $50,000 and over (5)",149450
Quebec,Males,25 to 34 years (4),"Persons with income of $75,000 and over (5)",46660
Quebec,Males,25 to 34 years (4),"Persons with income of $100,000 and over (5)",14630
Quebec,Males,25 to 34 years (4),"Persons with income of $150,000 and over (5)",2860
Quebec,Males,25 to 34 years (4),"Persons with income of $200,000 and over (5)",1280
Quebec,Males,25 to 34 years (4),"Persons with income of $250,000 and over (5)",760
Quebec,Males,35 to 44 years (4),Total persons with income (5),496160
Quebec,Males,35 to 44 years (4),"Persons with income under $5,000 (5)",19970
Quebec,Males,35 to 44 years (4),"Persons with income of $5,000 and over (5)",476190
Quebec,Males,35 to 44 years (4),"Persons with income of $10,000 and over (5)",454160
Quebec,Males,35 to 44 years (4),"Persons with income of $15,000 and over (5)",425850
Quebec,Males,35 to 44 years (4),"Persons with income of $20,000 and over (5)",402990
Quebec,Males,35 to 44 years (4),"Persons with income of $25,000 and over (5)",378750
Quebec,Males,35 to 44 years (4),"Persons with income of $35,000 and over (5)",320960
Quebec,Males,35 to 44 years (4),"Persons with income of $50,000 and over (5)",222910
Quebec,Males,35 to 44 years (4),"Persons with income of $75,000 and over (5)",106490
Quebec,Males,35 to 44 years (4),"Persons with income of $100,000 and over (5)",48020
Quebec,Males,35 to 44 years (4),"Persons with income of $150,000 and over (5)",14070
Quebec,Males,35 to 44 years (4),"Persons with income of $200,000 and over (5)",7000
Quebec,Males,35 to 44 years (4),"Persons with income of $250,000 and over (5)",4290
Quebec,Males,45 to 54 years (4),Total persons with income (5),586010
Quebec,Males,45 to 54 years (4),"Persons with income under $5,000 (5)",19700
Quebec,Males,45 to 54 years (4),"Persons with income of $5,000 and over (5)",566310
Quebec,Males,45 to 54 years (4),"Persons with income of $10,000 and over (5)",538460
Quebec,Males,45 to 54 years (4),"Persons with income of $15,000 and over (5)",500870
Quebec,Males,45 to 54 years (4),"Persons with income of $20,000 and over (5)",477000
Quebec,Males,45 to 54 years (4),"Persons with income of $25,000 and over (5)",450830
Quebec,Males,45 to 54 years (4),"Persons with income of $35,000 and over (5)",384690
Quebec,Males,45 to 54 years (4),"Persons with income of $50,000 and over (5)",272980
Quebec,Males,45 to 54 years (4),"Persons with income of $75,000 and over (5)",145080
Quebec,Males,45 to 54 years (4),"Persons with income of $100,000 and over (5)",74500
Quebec,Males,45 to 54 years (4),"Persons with income of $150,000 and over (5)",25840
Quebec,Males,45 to 54 years (4),"Persons with income of $200,000 and over (5)",13530
Quebec,Males,45 to 54 years (4),"Persons with income of $250,000 and over (5)",8520
Quebec,Males,55 to 64 years (4),Total persons with income (5),528140
Quebec,Males,55 to 64 years (4),"Persons with income under $5,000 (5)",18050
Quebec,Males,55 to 64 years (4),"Persons with income of $5,000 and over (5)",510090
Quebec,Males,55 to 64 years (4),"Persons with income of $10,000 and over (5)",479170
Quebec,Males,55 to 64 years (4),"Persons with income of $15,000 and over (5)",436490
Quebec,Males,55 to 64 years (4),"Persons with income of $20,000 and over (5)",410860
Quebec,Males,55 to 64 years (4),"Persons with income of $25,000 and over (5)",384250
Quebec,Males,55 to 64 years (4),"Persons with income of $35,000 and over (5)",314740
Quebec,Males,55 to 64 years (4),"Persons with income of $50,000 and over (5)",202690
Quebec,Males,55 to 64 years (4),"Persons with income of $75,000 and over (5)",98130
Quebec,Males,55 to 64 years (4),"Persons with income of $100,000 and over (5)",52810
Quebec,Males,55 to 64 years (4),"Persons with income of $150,000 and over (5)",20470
Quebec,Males,55 to 64 years (4),"Persons with income of $200,000 and over (5)",11200
Quebec,Males,55 to 64 years (4),"Persons with income of $250,000 and over (5)",7110
Quebec,Males,65 years and over,Total persons with income (5),570360
Quebec,Males,65 years and over,"Persons with income under $5,000 (5)",3200
Quebec,Males,65 years and over,"Persons with income of $5,000 and over (5)",567160
Quebec,Males,65 years and over,"Persons with income of $10,000 and over (5)",561750
Quebec,Males,65 years and over,"Persons with income of $15,000 and over (5)",531090
Quebec,Males,65 years and over,"Persons with income of $20,000 and over (5)",406880
Quebec,Males,65 years and over,"Persons with income of $25,000 and over (5)",319530
Quebec,Males,65 years and over,"Persons with income of $35,000 and over (5)",217020
Quebec,Males,65 years and over,"Persons with income of $50,000 and over (5)",113560
Quebec,Males,65 years and over,"Persons with income of $75,000 and over (5)",42270
